Name,PuntV,LeagV,Punt+,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g
Anthony Lamb,-0.793386606,-0.566270964,-0.227115642,GSW,SF/PF,62,19.2733871,6.693548387,1.177419355,3.467741935,1.548387097,0.451612903,0.322580645,0.47133758,5.064516129,0.766666667,0.967741935,0.870967742
Cam Payne,-0.669975844,-0.566641955,-0.103333889,PHO,PG/SG,48,20.17430556,10.27083333,1.416666667,2.208333333,4.458333333,0.6875,0.166666667,0.415011038,9.4375,0.765625,1.333333333,1.6875
Landry Shamet,-0.789433997,-0.566671114,-0.222762883,WAS,SG,40,20.17166667,8.65,1.875,1.675,2.325,0.65,0.125,0.376666667,7.5,0.882352941,1.275,0.9
Sam Hauser,-0.873341941,-0.570485377,-0.302856564,BOS,SF/PF,80,16.125,6.4,1.75,2.55,0.8875,0.3625,0.2625,0.454545455,4.95,0.705882353,0.2125,0.375
Josh Okogie,-0.802943396,-0.575309442,-0.227633954,PHO,SG/SF,72,18.75671296,7.347222222,0.916666667,3.486111111,1.458333333,0.777777778,0.472222222,0.391304348,5.75,0.723958333,2.666666667,0.875
Chuma Okeke,-0.840585116,-0.575692553,-0.264892563,ORL,PF,27,19.18518519,4.740740741,0.962962963,3.555555556,1.37037037,0.703703704,0.407407407,0.352459016,4.518518519,0.761904762,0.777777778,0.62962963
Taurean Prince,-0.744773063,-0.577897366,-0.166875697,MIN,SF/PF,54,22.08179012,9.12962963,1.37037037,2.444444444,1.555555556,0.518518519,0.277777778,0.46701847,7.018518519,0.844155844,1.425925926,1.277777778
Georges Niang,-0.833845716,-0.578151046,-0.255694669,PHI,SF/PF,78,19.38226496,8.166666667,1.974358974,2.371794872,0.987179487,0.384615385,0.179487179,0.442231076,6.435897436,0.866666667,0.576923077,0.692307692
Terrence Ross,-0.835380371,-0.578198446,-0.257181925,PHO,SG/SF,63,21.11851852,8.285714286,1.507936508,2.444444444,1.507936508,0.555555556,0.158730159,0.430107527,7.380952381,0.794117647,0.53968254,0.682539683
Jaden Ivey,-0.458369407,-0.582798332,0.124428926,DET,PG/SG,74,31.13963964,16.27027027,1.621621622,3.891891892,5.22972973,0.824324324,0.22972973,0.416073245,13.28378378,0.747191011,4.810810811,3.202702703
Aaron Wiggins,-0.824966188,-0.582849444,-0.242116744,OKC,SG/SF,70,18.53333333,6.842857143,0.685714286,3,1.142857143,0.557142857,0.214285714,0.512396694,5.185714286,0.830985915,1.014285714,0.785714286
Jalen Johnson,-0.855418895,-0.582958298,-0.272460598,ATL,PF/C,70,14.87880952,5.642857143,0.428571429,4.028571429,1.185714286,0.542857143,0.485714286,0.49068323,4.6,0.628205128,1.114285714,0.585714286
James Wiseman,-0.772384492,-0.582969589,-0.189414904,DET,C,45,19.27185185,10,0.088888889,5.933333333,0.666666667,0.155555556,0.6,0.557522124,7.533333333,0.701030928,2.155555556,1.133333333
JaMychal Green,-0.807305585,-0.584212422,-0.223093162,GSW,PF/C,57,13.97719298,6.421052632,0.736842105,3.596491228,0.894736842,0.438596491,0.403508772,0.53968254,4.421052632,0.776119403,1.175438596,0.912280702
Jericho Sims,-0.868257424,-0.585408272,-0.282849152,NYK,C,52,15.62275641,3.423076923,0,4.653846154,0.480769231,0.288461538,0.538461538,0.775700935,2.057692308,0.75,0.307692308,0.519230769
T.J. Warren,-0.87549548,-0.586040221,-0.289455259,PHO,SF/PF,42,16.35079365,7.476190476,0.523809524,2.880952381,0.952380952,0.523809524,0.285714286,0.488888889,6.428571429,0.8,0.833333333,0.476190476
Jaylen Nowell,-0.797194889,-0.587049795,-0.210145094,MIN,PG/SG,65,19.25717949,10.83076923,1.030769231,2.615384615,2.030769231,0.646153846,0.076923077,0.448,9.615384615,0.777777778,1.523076923,1
Trendon Watford,-0.781490058,-0.592657847,-0.188832212,POR,PF/C,62,19.05833333,7.403225806,0.403225806,3.838709677,2.096774194,0.516129032,0.193548387,0.560371517,5.209677419,0.72,1.612903226,1.14516129
Reggie Jackson,-0.699452494,-0.593339013,-0.10611348,DEN,PG/SG,68,24.36617647,10.19117647,1.411764706,2.117647059,3.426470588,0.691176471,0.088235294,0.4109375,9.411764706,0.91025641,1.147058824,1.691176471
Devonte' Graham,-0.849315574,-0.596447485,-0.252868089,SAS,PG/SG,73,18.33378995,7.383561644,1.630136986,1.671232877,2.684931507,0.616438356,0.219178082,0.373549884,5.904109589,0.748091603,1.794520548,0.726027397
Shaedon Sharpe,-0.804161254,-0.598297161,-0.205864094,POR,SG/SF/PF,80,22.23208333,9.8625,1.275,2.95,1.175,0.475,0.3,0.472222222,8.1,0.714285714,1.3125,1.0375
Cory Joseph,-0.825595462,-0.599249481,-0.226345981,DET,PG/SG,62,19.79569892,6.887096774,1.129032258,1.709677419,3.5,0.548387097,0.14516129,0.427350427,5.661290323,0.791666667,1.161290323,0.903225806
Andre Drummond,-0.797707814,-0.603601381,-0.194106432,CHI,C,67,12.67686567,5.955223881,0,6.626865672,0.492537313,0.671641791,0.402985075,0.605839416,4.089552239,0.536,1.865671642,1.119402985
Bismack Biyombo,-0.841960786,-0.604743162,-0.237217623,PHO,C,61,14.3284153,4.31147541,0,4.262295082,0.918032787,0.295081967,1.442622951,0.577669903,3.37704918,0.357142857,1.147540984,0.836065574
R.J. Barrett,-0.628564572,-0.605195906,-0.023368667,NYK,SG/SF,73,33.91073059,19.60273973,1.657534247,5.04109589,2.753424658,0.424657534,0.205479452,0.433673469,16.10958904,0.739795918,5.369863014,2.246575342
